Rank,State,2018,2017,2016,2015,2014,2013,2012,2011
NaN,District of Columbia,160472,159227,159395,159497,163274,166870,168030,166178
1,Massachusetts,65545,64507,62510,61882,62456,61769,60808,59178
2,New York,64579,64093,63420,62444,62841,61185,61267,59481
3,Connecticut,64511,63747,62236,62550,63502,63638,64906,65574
4,Alaska,63971,67705,67411,69700,73478,70573,69564,72204
5,Delaware,63664,64040,63271,60719,62174,63793,62837,64313
6,North Dakota,62837,67305,71056,67651,68105,57066,52185,48858
7,Wyoming,58821,60908,61417,60770,60777,63985,64603,66320
8,California,58619,57328,55374,53855,52974,52099,51871,51733
9,New Jersey,57084,56472,55635,55750,55161,54302,55023,55067
10,Washington,56831,55780,55001,54161,53439,52500,52679,52264
11,Maryland,55404,54894,54003,53765,54018,54209,53675,52515
12,Illinois,54091,53432,52795,51963,52172,51198,50304,49859
13,Texas,53795,54421,52993,52018,50266,48354,47417,47034
14,Minnesota,53704,53380,53005,51999,51272,50875,50148,48884
15,Nebraska,53114,52878,53099,51565,50631,51360,49569,47973
16,Colorado,52795,52622,52019,50475,49639,49285,49254,49731
17,New Hampshire,51794,50456,49480,48871,48652,48504,48388,47265
18,Virginia,51736,51716,50803,51106,51546,51754,51946,51389
19,Hawaii,51277,50320,49497,49539,49513,49331,49418,48549
20,Pennsylvania,50997,50418,49155,48278,47540,46872,46387,45312
21,Oregon,50582,49792,48342,48094,49395,51266,49601,47530
NaN,United States,50577,50155,49253,48538,48173,47595,47287,46680
22,Iowa,50315,50086,49218,48002,48001,46523,45884,45195
23,South Dakota,48076,47706,46776,46869,46965,47972,45605,45457
24,Rhode Island,47639,47118,46668,46356,46188,46010,46332,45280
25,Ohio,47567,46826,46385,45254,44896,44192,42667,41593
26,Wisconsin,47266,46859,46340,45845,45382,44906,44126,43215
27,Kansas,46982,46890,46003,45470,45514,45476,44243,43770
28,Indiana,45317,44797,44577,43866,43064,43058,42996,40572
29,Georgia,44723,43913,43313,42500,42191,42140,42029,42052
30,Utah,44636,44204,43069,42267,41929,41992,41500,41563
31,Oklahoma,44623,45864,45007,43288,41861,39961,38303,38640
32,North Carolina,44325,44096,43372,42945,42659,43223,43141,43160
33,Vermont,43946,43495,43039,42914,43042,43124,42170,40855
34,Louisiana,43917,44293,44254,43725,45482,45712,48599,46949
35,Nevada,43820,43649,42927,43075,43382,44555,44589,44774
36,Michigan,43372,42631,41514,40993,40463,39757,38763,36676
37,Missouri,43317,42943,42442,42487,41926,41598,42204,42012
38,Tennessee,43267,42797,41828,41487,41091,40193,39370,39096
39,New Mexico,41348,41577,40842,39659,40094,40167,40297,40670
40,Florida,39543,39093,38398,38023,37705,37876,38604,38695
41,Montana,39356,39686,39214,38476,38537,38542,37733,36667
42,Kentucky,38985,38603,38298,38247,38052,37926,37579,36209
43,Maine,38921,38450,38014,37477,37705,37780,38352,37910
44,Arizona,38590,38414,38427,38303,38559,38257,37935,38232
45,Alabama,37261,36856,36538,36660,36425,36201,35913,35376
46,South Carolina,37063,36796,36295,35701,35346,35609,35126,34955
47,Arkansas,36368,36196,36249,35865,34965,35146,34671,33837
48,West Virginia,36315,36453,36161,35755,35509,36084,35368,34564
49,Idaho,35466,35467,35099,34748,34094,34270,34620,34664
50,Mississippi,31881,31633,31522,31923,31786,31167,31688,31658
